angry,bored,disgust,happy,neutral,other,sad,scared,surprise,worried
1,1,1,1,1,0,1,1,1,1
angry,bored,disgust,happy,neutral,confused,sad,scared,bewilderment,worried
aggression,boredom,discuss,cheerful ,blank,-999,crestfallen,alarm,amazed,a bundle of nerves 
aggressive,disinterested,disgusted,cheery,fine,0,deflatedness,alarmed ,amazement,anxious
anger,fed up ,grossed,content,indifferent,999,depressed,anxious,astonished,apprehensive
angry,fed-up,grossed out,delight,normal,agitated,depressed ,fear,astonishment,concerned
annoyance,board,repulsive,delighted,nothing,alright,despair,fright,bewildered,distraught
annoyed,uninterested,revolted,ecstatic ,ok,alright ,despondent,frightened,disbelief,distressed
argumentative,boredangry,sick,elation,okay,amazed,dismay,frightened ,fright,nervous
crabby,,discussed,exhuberant,indifference,and,down ,horrified,gobsmacked,rattled
cross,,disguise,glad,placid,and,gloomy,horrified,shock,stressed
disgruntled,,disscusted ,glee,impartial,angst,glum ,horror,shocked,unease
frustrated,,sickened,gleeful,natural,anguish,grief,horror ,suprise,worry
frustration,,queasy ,glory,,anticipation,grief,panic,suprised,anxiousness
fury,,revulsion,good ,,apathy,heartbroken ,scared ,surprise,anxiety
grumpy ,,digested,great ,,away,heartsunk ,shock,surprised,concerns
in high dudgeon,,disgusting,happiness,,awful,melancholy,terrified,surprize,worries
infuriated,,disguised,happy as a clam,,bad,miserable ,terrified ,surprized,concern
irate,,buck,jolly,,bad,mournful,afraid,wonder,
irritation,,disgusted,joy,,bad mood ,sadness,aghast,replied,
livid,,,joyful,,bamboozled,sorrow,fearful,stun,
mad,,,overjoyed,,blissful,sorrow ,fare,stunn,
mad,,,pleased,,but,tearful,,stunned,
pissed ,,,pleasure,,chilled,unhappy,,,
rage,,,thrilled,,cold,upset,,,
rage,,,wonderful,,concentration,sadly,,,
seeing red,,,joyous,,concerned,miserable,,,
temper,,,amused,,confident,down,,,
vexed,,,joys,,confident,solemn,,,
wrath,,,laughter,,confused,devastated,,,
furious,,,laughing,,confused,unhappiness,,,
enraged,,,marvelous,,confusion,san,,,
raged,,,static,,crazy ,glum,,,
fuming,,,ecstatic,,crying,sympathy,,,
aggisire,,,cheerful,,curious,somber,,,
violent,,,humoured,,despondent,saddened,,,
outraged,,,jubilant,,dirty,sadengaged,,,
,,,yessssss ,,disappointed,grumpy,,,
,,,elated,,disappointed,gutted,,,
,,,,,disappointed ,dismayed,,,
,,,,,disbelief,guilty,,,
,,,,,disinterest,,,,
,,,,,dismay,,,,
,,,,,disturbed,,,,
,,,,,doesn,,,,
,,,,,doesn't,,,,
,,,,,don’t ,,,,
,,,,,dont,,,,
,,,,,don't know,,,,
,,,,,dont know ,,,,
,,,,,doubt ,,,,
,,,,,doubtful,,,,
,,,,,embarrassed,,,,
,,,,,embarrassment,,,,
,,,,,energetic,,,,
,,,,,exasperated ,,,,
,,,,,excited ,,,,
,,,,,fatigue,,,,
,,,,,fed,,,,
,,,,,feeling,,,,
,,,,,fidgeted,,,,
,,,,,forceful ,,,,
,,,,,forgetful,,,,
,,,,,forgetful,,,,
,,,,,forthright,,,,
,,,,,frazzled,,,,
,,,,,freezing,,,,
,,,,,go,,,,
,,,,,good,,,,
,,,,,grateful,,,,
,,,,,helpless,,,,
,,,,,huffy ,,,,
,,,,,hungry,,,,
,,,,,hungry,,,,
,,,,,hurt,,,,
,,,,,hurt,,,,
,,,,,hurtful,,,,
,,,,,hurting,,,,
,,,,,hurting,,,,
,,,,,i,,,,
,,,,,if,,,,
,,,,,impatience,,,,
,,,,,impatient,,,,
,,,,,impatient ,,,,
,,,,,in,,,,
,,,,,intense,,,,
,,,,,interested,,,,
,,,,,intimidation,,,,
,,,,,know,,,,
,,,,,lonely,,,,
,,,,,lost,,,,
,,,,,lost,,,,
,,,,,love,,,,
,,,,,matter,,,,
,,,,,maybe,,,,
,,,,,mischevious ,,,,
,,,,,missing,,,,
,,,,,moody ,,,,
,,,,,naughty ,,,,
,,,,,nervous,,,,
,,,,,nervousness,,,,
,,,,,nice ,,,,
,,,,,not,,,,
,,,,,not,,,,
,,,,,off,,,,
,,,,,old ,,,,
,,,,,or,,,,
,,,,,overwhealmed,,,,
,,,,,overwhelmed,,,,
,,,,,pain,,,,
,,,,,patient,,,,
,,,,,people,,,,
,,,,,perplexed,,,,
,,,,,pricked,,,,
,,,,,pride,,,,
,,,,,proud,,,,
,,,,,psychotic,,,,
,,,,,pushing,,,,
,,,,,puzzled,,,,
,,,,,ready,,,,
,,,,,regret,,,,
,,,,,relaxed,,,,
,,,,,relief,,,,
,,,,,rembrance,,,,
,,,,,remorse,,,,
,,,,,resigned,,,,
,,,,,restless,,,,
,,,,,restlessness,,,,
,,,,,satisfaction,,,,
,,,,,satisfied,,,,
,,,,,saying,,,,
,,,,,self,,,,
,,,,,sentimental,,,,
,,,,,serious,,,,
,,,,,shakey ,,,,
,,,,,shakey ,,,,
,,,,,shy,,,,
,,,,,sick,,,,
,,,,,sick,,,,
,,,,,silly,,,,
,,,,,sleeping ,,,,
,,,,,sleepy,,,,
,,,,,smart,,,,
,,,,,smartness,,,,
,,,,,something,,,,
,,,,,sore ,,,,
,,,,,sorrows,,,,
,,,,,sorry,,,,
,,,,,startled,,,,
,,,,,stern ,,,,
,,,,,stoned,,,,
,,,,,stress,,,,
,,,,,stressed,,,,
,,,,,struggling,,,,
,,,,,stupid,,,,
,,,,,sure,,,,
,,,,,tense,,,,
,,,,,tense,,,,
,,,,,that,,,,
,,,,,thinking,,,,
,,,,,tired,,,,
,,,,,tiredness,,,,
,,,,,uncertain,,,,
,,,,,uncertain,,,,
,,,,,uncertain,,,,
,,,,,uncomfortable,,,,
,,,,,ungrateful,,,,
,,,,,untidy,,,,
,,,,,unwell,,,,
,,,,,up,,,,
,,,,,up,,,,
,,,,,uptight,,,,
,,,,,vacant ,,,,
,,,,,victorious,,,,
,,,,,waiting,,,,
,,,,,weary,,,,
,,,,,worthless,,,,
,,,,,wound,,,,
,,,,,clue,,,,
,,,,,no,,,,
,,,,,quite,,,,
,,,,,walking,,,,
,,,,,excited,,,,
,,,,,exctement,,,,
,,,,,excite,,,,
,,,,,exciting,,,,
,,,,,thoughtful,,,,
,,,,,intriguer,,,,
,,,,,pensive,,,,
,,,,,interested,,,,
,,,,,interest,,,,
,,,,,impressed,,,,
,,,,,x,,,,
,,,,,concentrating,,,,
,,,,,engaged,,,,
,,,,,calm,,,,
,,,,,powerful,,,,
,,,,,minus999,,,,
,,,,,insecure,,,,
,,,,,insure,,,,
,,,,,dislike,,,,
,,,,,playful,,,,
,,,,,ill,,,,
,,,,,groos,,,,
,,,,,rude,,,,
,,,,,tired,,,,
,,,,,tried,,,,
,,,,,tiered,,,,
,,,,,shattered,,,,
,,,,,tyre,,,,
,,,,,tier,,,,
,,,,,exhausted,,,,
,,,,,drained,,,,
,,,,,constipated,,,,
,,,,,me,,,,
,,,,,anchors,,,,
,,,,,wondering,,,,
,,,,,undecided,,,,
,,,,,disbelieving,,,,
,,,,,mug,,,,
,,,,,unused,,,,
,,,,,funny,,,,
,,,,,contemption,,,,
,,,,,ressistant,,,,
,,,,,lifted,,,,
,,,,,dumb,,,,
,,,,,thought,,,,
,,,,,mindful,,,,
,,,,,sceptic,,,,
,,,,,whatever,,,,
,,,,,thoughtfulness,,,,
,,,,,thoughtlessness,,,,
,,,,,listening,,,,
,,,,,thoughtfully,,,,
,,,,,engrossed,,,,
,,,,,mmm,,,,
,,,,,yuk,,,,
,,,,,don't know,,,,
,,,,,disputed,,,,
,,,,,horrible,,,,
,,,,,cringe,,,,
,,,,,doesn't like,,,,
,,,,,ugh,,,,
,,,,,unimpressed,,,,
,,,,,disillusion,,,,
,,,,,grumpy,,,,
,,,,,fun,,,,
,,,,,rowdy,,,,
,,,,,sarcasm,,,,
,,,,,sarcastic,,,,
,,,,,alone,,,,
,,,,,lovely,,,,
,,,,,loneliness,,,,
,,,,,passion,,,,
,,,,,made,,,,
,,,,,excited,,,,
,,,,,excitedly,,,,
,,,,,excitement,,,,
,,,,,humour,,,,
,,,,,respective,,,,
,,,,,respect,,,,
,,,,,respectful,,,,
,,,,,peaceful,,,,
,,,,,contemplative,,,,
,,,,,defective,,,,
,,,,,hopeful,,,,
,,,,,pray,,,,
,,,,,praying,,,,
,,,,,prayer,,,,
,,,,,serenity,,,,
,,,,,prayered,,,,
,,,,,peaceful,,,,
,,,,,quiet,,,,
,,,,,mourning,,,,
,,,,,contemplating,,,,
,,,,,attentive,,,,
,,,,,focused,,,,
,,,,,loved,,,,
